stt,product_title,sku,product_url,image_url,status
1,Điều khiển 4 phím cảm biến tiệm cận Casambi Vlinca - VBA-SSR4,bang-dieu-khien-4-phim-thong-minh-casambi-vlinca-vba-ssr4,https://knxstore.vn/products/bang-dieu-khien-4-phim-thong-minh-casambi-vlinca-vba-ssr4,https://knxstore.vn/assets/image/product/bang-dieu-khien-4-phim-thong-minh-casambi-vlinca-vba-ssr42.jpg,ok
2,Bảng điều khiển 6 phím không dây Casambi Vlinca - VBA-RCS6,bang-dieu-khien-6-phim-khong-day-casambi-vlinca-vba-rcs6,https://knxstore.vn/products/bang-dieu-khien-6-phim-khong-day-casambi-vlinca-vba-rcs6,https://knxstore.vn/assets/image/product/bang-dieu-khien-6-phim-khong-day-casambi-vlinca-vba-rcs6.jpg,ok
3,Bảng điều khiển 8 phím không dây Casambi Vlinca - VBA-RCS8,bang-dieu-khien-8-phim-khong-day-casambi-vlinca-vba-rcs8,https://knxstore.vn/products/bang-dieu-khien-8-phim-khong-day-casambi-vlinca-vba-rcs8,https://knxstore.vn/assets/image/product/bang-dieu-khien-8-phim-khong-day-casambi-vlinca-vba-rcs82.jpg,ok
4,Bộ chuyển đổi DMX sang Casambi chọn ngữ cảnh SceneDMXcas,bo-chuyen-doi-dmx-sang-casambi-chon-ngu-canh-scenedmxcas,https://knxstore.vn/products/bo-chuyen-doi-dmx-sang-casambi-chon-ngu-canh-scenedmxcas,https://knxstore.vn/assets/image/product/bo-chuyen-doi-dmx-sang-casambi-chon-ngu-canh-scenedmxcas.jpg,ok
5,Bộ điều khiển 16 địa chỉ driver DALI master Salvador Casambi - SAL-1016,bo-dieu-khien-16-dia-chi-driver-dali-master-salvador-casambi-sal-1016,https://knxstore.vn/products/bo-dieu-khien-16-dia-chi-driver-dali-master-salvador-casambi-sal-1016,https://knxstore.vn/assets/image/product/bo-dieu-khien-16-dia-chi-driver-dali-master-salvador-casambi-sal-1016.jpg,ok
6,Bộ điều khiển 32 địa chỉ driver DALI master Salvador Casambi - SAL-1032,bo-dieu-khien-32-dia-chi-driver-dali-master-salvador-casambi-sal-1032,https://knxstore.vn/products/bo-dieu-khien-32-dia-chi-driver-dali-master-salvador-casambi-sal-1032,https://knxstore.vn/assets/image/product/bo-dieu-khien-32-dia-chi-driver-dali-master-salvador-casambi-sal-1032.jpg,ok
7,Bộ điều khiển Casambi to Matter Bridge Rayrun - MTB10,bo-dieu-khien-casambi-to-matter-bridge-rayrun-mtb10,https://knxstore.vn/products/bo-dieu-khien-casambi-to-matter-bridge-rayrun-mtb10,https://knxstore.vn/assets/image/product/bo-dieu-khien-casambi-to-matter-bridge-rayrun-mtb10.jpg,ok
8,Bộ điều khiển DMX đa kênh với radio tầm xa Casambi - casDMX,bo-dieu-khien-dmx-da-kenh-casambi-voi-radio-tam-xa-casdmx,https://knxstore.vn/products/bo-dieu-khien-dmx-da-kenh-casambi-voi-radio-tam-xa-casdmx,https://knxstore.vn/assets/image/product/bo-dieu-khien-dmx-da-kenh-casambi-voi-radio-tam-xa-casdmx_2.jpg,ok
9,Bộ Điều Khiển Độ Sáng DMX 8 Kênh Casambi - DMXcas,bo-dieu-khien-do-sang-dmx-casambi-8-kenh-dmxcas,https://knxstore.vn/products/bo-dieu-khien-do-sang-dmx-casambi-8-kenh-dmxcas,https://knxstore.vn/assets/image/product/bo-dieu-khien-do-sang-dmx-casambi-8-kenh-dmxcas_2.jpg,ok
10,Bộ điều khiển động cơ rèm Casambi 2 kênh 2A Casambi - CBU-BLIND-2P,bo-dieu-khien-dong-co-rem-casambi-2-kenh-2a-casambi-cbu-blind-2p,https://knxstore.vn/products/bo-dieu-khien-dong-co-rem-casambi-2-kenh-2a-casambi-cbu-blind-2p,https://knxstore.vn/assets/image/product/bo-dieu-khien-dong-co-rem-casambi-2-kenh-2a-casambi-cbu-blind-2p2.jpg,ok
11,Bộ điều khiển động cơ rèm Casambi 2 kênh Maintronic - CBA1024,bo-dieu-khien-dong-co-rem-casambi-2-kenh-maintronic-cba1024,https://knxstore.vn/products/bo-dieu-khien-dong-co-rem-casambi-2-kenh-maintronic-cba1024,https://knxstore.vn/assets/image/product/bo-dieu-khien-dong-co-rem-casambi-2-kenh-maintronic-cba1024.jpg,ok
12,Bộ điều khiển Gate Casambi Protopixel – Gate Casambi,bo-dieu-khien-gate-casambi-protopixel-gate-casambi,https://knxstore.vn/products/bo-dieu-khien-gate-casambi-protopixel-gate-casambi,https://knxstore.vn/assets/image/product/bo-dieu-khien-gate-casambi-protopixel-gate-casambi.jpg,ok
13,Bộ điều khiển hồng ngoại IR Casambi Remotec - BXT-130,bo-dieu-khien-hong-ngoai-ir-casambi-remotec-bxt-130,https://knxstore.vn/products/bo-dieu-khien-hong-ngoai-ir-casambi-remotec-bxt-130,https://knxstore.vn/assets/image/product/bo-dieu-khien-hong-ngoai-ir-casambi-remotec-bxt-130.jpg,ok
14,"Bộ điều khiển LED Pixel SPI, 5-24V Casambi - RUNNING-LIGHT-CASAMBI",bo-dieu-khien-led-pixel-spi-5-24v-casambi-running-light-casambi,https://knxstore.vn/products/bo-dieu-khien-led-pixel-spi-5-24v-casambi-running-light-casambi,https://knxstore.vn/assets/image/product/bo-dieu-khien-led-pixel-spi-5-24v-casambi-running-light-casambi.jpg,ok
15,Bộ điều khiển on/off Casambi 10A AIMOTION - 1023,bo-dieu-khien-on-off-casambi-10a-aimotion-1023,https://knxstore.vn/products/bo-dieu-khien-on-off-casambi-10a-aimotion-1023,https://knxstore.vn/assets/image/product/bo-dieu-khien-on-off-casambi-10a-aimotion-1023.jpg,ok
16,"Bộ điều khiển on/off LED Casambi 1 ngõ ra, 2 ngõ vào Olfer",bo-dieu-khien-on-off-led-casambi-1-ngo-ra-10a-dry-contact-2-ngo-vao-nut-nhan-olfer-cbu-rl-2p,https://knxstore.vn/products/bo-dieu-khien-on-off-led-casambi-1-ngo-ra-10a-dry-contact-2-ngo-vao-nut-nhan-olfer-cbu-rl-2p,https://knxstore.vn/assets/image/product/bo-dieu-khien-on-off-led-casambi-1-ngo-ra-10a-dry-contact-2-ngo-vao-nut-nhan-olfer-cbu-rl-2p.jpg,ok
17,Bộ điều khiển on/off LED Casambi 1 ngõ ra/vào Olfer - CBU-RLVF-1P,bo-dieu-khien-on-off-led-casambi-1-ngo-ra-13a-1-ngo-vao-nut-nhan-olfer-cbu-rlvf-1p,https://knxstore.vn/products/bo-dieu-khien-on-off-led-casambi-1-ngo-ra-13a-1-ngo-vao-nut-nhan-olfer-cbu-rlvf-1p,https://knxstore.vn/assets/image/product/bo-dieu-khien-on-off-led-casambi-1-ngo-ra-13a-1-ngo-vao-nut-nhan-olfer-cbu-rlvf-1p.jpg,ok
18,Bộ điều khiển on/off LED Casambi 2 ngõ ra/vào Olfer - CBU-2RL-2P,bo-dieu-khien-on-off-led-casambi-2-ngo-ra-5a-2-ngo-vao-nut-nhan-olfer-cbu-2rl-2p,https://knxstore.vn/products/bo-dieu-khien-on-off-led-casambi-2-ngo-ra-5a-2-ngo-vao-nut-nhan-olfer-cbu-2rl-2p,https://knxstore.vn/assets/image/product/bo-dieu-khien-on-off-led-casambi-2-ngo-ra-5a-2-ngo-vao-nut-nhan-olfer-cbu-2rl-2p.jpg,ok
19,Bộ điều khiển đóng ngắt 11A tích hợp Casambi - VBU-R1-BI,bo-dieu-khien-tich-hop-casambi-vbu-r1-bi,https://knxstore.vn/products/bo-dieu-khien-tich-hop-casambi-vbu-r1-bi,https://knxstore.vn/assets/image/product/bo-dieu-khien-tich-hop-casambi-vbu-r1-bi1.jpg,ok
20,CBU-4P - Bộ module nút nhấn Casambi 4 kênh Olfer,bo-module-nut-nhan-casambi-4-kenh-olfer-cbu-4p,https://knxstore.vn/products/bo-module-nut-nhan-casambi-4-kenh-olfer-cbu-4p,https://knxstore.vn/assets/image/product/bo-module-nut-nhan-casambi-4-kenh-olfer-cbu-4p1.jpg,ok
21,Cảm biến chuyển động & ánh sáng Casambi DALI Olfer - CBU-PIR-CR-DA,cam-bien-chuyen-dong-anh-sang-casambi-dali-olfer-cbu-pir-cr-da,https://knxstore.vn/products/cam-bien-chuyen-dong-anh-sang-casambi-dali-olfer-cbu-pir-cr-da,https://knxstore.vn/assets/image/product/cam-bien-chuyen-dong-anh-sang-casambi-dali-olfer-cbu-pir-cr-da.jpg,ok
22,Cảm biến hiện diện Casambi IP65 Zhaga 0-10V Sunricher,cam-bien-hien-dien-casambi-ip65-zhaga-dim-0-10v-sunricher-sr-cs9033a-pir-v,https://knxstore.vn/products/cam-bien-hien-dien-casambi-ip65-zhaga-dim-0-10v-sunricher-sr-cs9033a-pir-v,https://knxstore.vn/assets/image/product/cam-bien-hien-dien-casambi-ip65-zhaga-dim-0-10v-sunricher-sr-cs9033a-pir-v.jpg,ok
23,Cảm biến hiện diện DALI Versaan Casambi Dali Unity S1 - VS-S1-LBW,cam-bien-hien-dien-dali-versaan-casambi-unity-s1,https://knxstore.vn/products/cam-bien-hien-dien-dali-versaan-casambi-unity-s1,https://knxstore.vn/assets/image/product/cam-bien-hien-dien-dali-versaan-casambi-unity-s11.jpg,ok
24,Bóng đèn led thông minh Casambi Bluetooth Carus E27 - LE43 080488,carus-bong-den-led-thong-minh-dieu-chinh-qua-bluetooth,https://knxstore.vn/products/carus-bong-den-led-thong-minh-dieu-chinh-qua-bluetooth,https://knxstore.vn/assets/image/product/carus-bong-den-led-thong-minh-dieu-chinh-qua-bluetooth_1.jpg,ok
25,CBU-A2D - Bộ điều khiển 2 kênh 0-10V & DALI Bluetooth Casambi,casambi-bo-dieu-khien-2-kenh-0-10v-dali-bluetooth-cbu-a2d,https://knxstore.vn/products/casambi-bo-dieu-khien-2-kenh-0-10v-dali-bluetooth-cbu-a2d,https://knxstore.vn/assets/image/product/casambi-bo-dieu-khien-2-kenh-0-10v-dali-bluetooth-cbu-a2d_2.jpg,ok
26,CBU-TED-LR - Bộ điều khiển dimmer Triac Casambi,casambi-bo-dieu-khien-chieu-sang-dimmer-bluetooth-cbu-ted-lr,https://knxstore.vn/products/casambi-bo-dieu-khien-chieu-sang-dimmer-bluetooth-cbu-ted-lr,https://knxstore.vn/assets/image/product/casambi-bo-dieu-khien-chieu-sang-dimmer-bluetooth-cbu-ted-lr_1.png,ok
27,Bộ điều khiển dimmer Triac Casambi Vadsbo - LD220WCM,casambi-bo-dieu-khien-chieu-sang-dimmer-bluetooth-ld220wcm,https://knxstore.vn/products/casambi-bo-dieu-khien-chieu-sang-dimmer-bluetooth-ld220wcm,https://knxstore.vn/assets/image/product/casambi-bo-dieu-khien-chieu-sang-dimmer-bluetooth-ld220wcm_4.jpg,ok
28,Bộ điều khiển relay bluetooth Casambi - R3000WCM,casambi-bo-dieu-khien-chieu-sang-relay-bluetooth-r3000wcm,https://knxstore.vn/products/casambi-bo-dieu-khien-chieu-sang-relay-bluetooth-r3000wcm,https://knxstore.vn/assets/image/product/casambi-bo-dieu-khien-chieu-sang-relay-bluetooth-r3000wcm_1.jpg,ok
29,CBU-PWM4 - Bộ điều khiển chiếu sáng RGBW & tunable white Bluetooth Casambi,casambi-bo-dieu-khien-chieu-sang-rgbw-tunable-white-bluetooth-cbu-pwm4,https://knxstore.vn/products/casambi-bo-dieu-khien-chieu-sang-rgbw-tunable-white-bluetooth-cbu-pwm4,https://knxstore.vn/assets/image/product/casambi-bo-dieu-khien-chieu-sang-rgbw-tunable-white-bluetooth-cbu-pwm4_1.jpg,ok
30,CBU-DCS - Bộ điều khiển DALI Bluetooth Casambi,casambi-bo-dieu-khien-dali-bluetooth-cbu-dcs,https://knxstore.vn/products/casambi-bo-dieu-khien-dali-bluetooth-cbu-dcs,https://knxstore.vn/assets/image/product/casambi-bo-dieu-khien-dali-bluetooth-cbu-dcs_3.jpg,ok
31,CBU-DA-1P - Bộ điều khiển DALI Casambi Olfer,casambi-bo-dieu-khien-dali-cbu-da-1p,https://knxstore.vn/products/casambi-bo-dieu-khien-dali-cbu-da-1p,https://knxstore.vn/assets/image/product/casambi-bo-dieu-khien-dali-cbu-da-1p_10.jpg,ok
32,Bộ điều khiển 64 địa chỉ driver DALI master Salvador Casambi - SAL-1064,casambi-bo-dieu-khien-dali-master-casambi-savaldor-sal-10xx,https://knxstore.vn/products/casambi-bo-dieu-khien-dali-master-casambi-savaldor-sal-10xx,https://knxstore.vn/assets/image/product/casambi-bo-dieu-khien-dali-master-casambi-savaldor-sal-10xx_4.jpg,ok
33,Bộ nguồn Tridonic 24V 100W Casambi - LC 100/24V bDW SC PRE2,casambi-bo-nguon-tridonic-24v-100w-lc-100-24v-bdw-sc-pre2,https://knxstore.vn/products/casambi-bo-nguon-tridonic-24v-100w-lc-100-24v-bdw-sc-pre2,https://knxstore.vn/assets/image/product/casambi-bo-nguon-tridonic-24v-100w-lc-100-24v-bdw-sc-pre2_4.jpg,ok
34,Bộ nguồn Tridonic 24V 150W Casambi - LC 150/24V bDW SC PRE2,casambi-bo-nguon-tridonic-24v-150w-lc-150-24v-bdw-sc-pre2,https://knxstore.vn/products/casambi-bo-nguon-tridonic-24v-150w-lc-150-24v-bdw-sc-pre2,https://knxstore.vn/assets/image/product/casambi-bo-nguon-tridonic-24v-150w-lc-150-24v-bdw-sc-pre2_4.jpg,ok
35,Bộ nguồn Tridonic 24V 35W Casambi - LC 35/24V bDW SC PRE2,casambi-bo-nguon-tridonic-24v-35w-lc-35-24v-bdw-sc-pre2,https://knxstore.vn/products/casambi-bo-nguon-tridonic-24v-35w-lc-35-24v-bdw-sc-pre2,https://knxstore.vn/assets/image/product/casambi-bo-nguon-tridonic-24v-35w-lc-35-24v-bdw-sc-pre2_4.jpg,ok
36,Bộ nguồn Tridonic 24V 60W Casambi - LC 60/24V bDW SC PRE2,casambi-bo-nguon-tridonic-24v-60w-lc-60-24v-bdw-sc-pre2,https://knxstore.vn/products/casambi-bo-nguon-tridonic-24v-60w-lc-60-24v-bdw-sc-pre2,https://knxstore.vn/assets/image/product/casambi-bo-nguon-tridonic-24v-60w-lc-60-24v-bdw-sc-pre2_4.jpg,ok
37,Cảm biến hồng ngoại gắn trần Casambi DALI - EBDMR-CB-DD,casambi-cam-bien-hong-ngoai-gan-tran-ebdmr-cb-dd,https://knxstore.vn/products/casambi-cam-bien-hong-ngoai-gan-tran-ebdmr-cb-dd,https://knxstore.vn/assets/image/product/casambi-cam-bien-hong-ngoai-gan-tran-ebdmr-cb-dd_1.jpg,ok
38,Cảm biến hồng ngoại gắn trần Casambi - EBDSPIR-CB-DD,casambi-cam-bien-hong-ngoai-gan-tran-ebdspir-cb-dd,https://knxstore.vn/products/casambi-cam-bien-hong-ngoai-gan-tran-ebdspir-cb-dd,https://knxstore.vn/assets/image/product/casambi-cam-bien-hong-ngoai-gan-tran-ebdspir-cb-dd_1.jpg,ok
39,Cảm biến hồng ngoại gắn trần Casambi - EBDSPIR-CB-NN,casambi-cam-bien-hong-ngoai-gan-tran-ebdspir-cb-nn,https://knxstore.vn/products/casambi-cam-bien-hong-ngoai-gan-tran-ebdspir-cb-nn,https://knxstore.vn/assets/image/product/casambi-cam-bien-hong-ngoai-gan-tran-ebdspir-cb-nn_1.jpg,ok
40,Cảm biến hồng ngoại trần cao Casambi DALI M64 - EBDHS-B-CB-DD,casambi-cam-bien-hong-ngoai-khu-vuc-tran-cao-ebdhs-b-cb-dd,https://knxstore.vn/products/casambi-cam-bien-hong-ngoai-khu-vuc-tran-cao-ebdhs-b-cb-dd,https://knxstore.vn/assets/image/product/casambi-cam-bien-hong-ngoai-khu-vuc-tran-cao-ebdhs-b-cb-dd_1.jpg,ok
41,Cảm biến hồng ngoại trần cao Casambi DALI M20 - EBDHS-B-MB-CB-DD,casambi-cam-bien-hong-ngoai-khu-vuc-tran-cao-ebdhs-b-mb-cb-dd,https://knxstore.vn/products/casambi-cam-bien-hong-ngoai-khu-vuc-tran-cao-ebdhs-b-mb-cb-dd,https://knxstore.vn/assets/image/product/casambi-cam-bien-hong-ngoai-khu-vuc-tran-cao-ebdhs-b-mb-cb-dd_1.jpg,ok
42,Thiết bị hỗ trợ điều khiển từ xa Cloud gateway Casambi - CGW-001,casambi-cloud-gateway-cgw-001,https://knxstore.vn/products/casambi-cloud-gateway-cgw-001,https://knxstore.vn/assets/image/product/casambi-cloud-gateway-cgw-001_3.jpg,ok
43,Công tắc Bticino Living Now 3M Casambi - CBL-PB3-XX,casambi-cong-tac-bticino-living-now-3m-cbl-pb3-xx,https://knxstore.vn/products/casambi-cong-tac-bticino-living-now-3m-cbl-pb3-xx,https://knxstore.vn/assets/image/product/casambi-cong-tac-bticino-living-now-3m-cbl-pb3-xx1.jpg,ok
44,Công tắc điều khiển 6 phím không dây Casambi Siqitech D1-CB01,casambi-cong-tac-dieu-khien-casambi-d1,https://knxstore.vn/products/casambi-cong-tac-dieu-khien-casambi-d1,https://knxstore.vn/assets/image/product/casambi-cong-tac-dieu-khien-casambi-d1.jpg,ok
